"Marca temporal","a) De favor, me podría ayudar con que la última persona que cumplió años en su hogar sea quien conteste la encuesta. ","b)	¿Vive usted en esta casa?","c)	¿Cuenta con credencial de lector vigente domiciliaria con esta vivienda?","d)	Me podría decir su edad, de favor ","e)	Anotar sexo sin preguntar","1.	Pensando en cómo se ha sentido en la última semana, ¿qué emoción describe mejor su estado de ánimo?","2.	¿Qué tan seguro está de asistir a votar en las próximas elecciones del 6 de junio?","3.	Si en las próximas elecciones para Presidente Municipal de Tuxtla Gutiérrez los candidatos fueran los siguientes, ¿por quién votaría usted?","4.	Independientemente de por quién ha votado en pasadas elecciones, ¿actualmente con cuál partido se siente usted más identificado? ","5.	¿Cuál es el servicio público que más ha mejorado en su colonia durante los últimos tres años?","6.	¿Cuál es el servicio público que más ha empeorado en su colonia durante los últimos tres años?","7.	En general, ¿usted aprueba o desaprueba la forma en que el presidente Andrés Manuel López Obrador realiza su trabajo?","8.	En general, ¿usted aprueba o desaprueba la forma en que su presidente municipal Carlos Morales realiza su trabajo? ","¿Cuál es su estado civil?","¿Cuál es su último grado de estudios concluido?","¿Cuál es su principal ocupación?","En total y contándose usted, ¿cuántas personas viven en su casa?","Número de equipo","Número del encuestador","Nombre del encuestador","Sección","Manzana","Persona"
"2021/04/15 9:24:16 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","c) 35 a 44 años","a) Hombre","c) Tranquilo","c) Estoy seguro que iré a votar","b) Carlos Morales, por MORENA","b) MORENA","c) Alumbrado público","g) Pavimentación de calles","b) Aprueba poco","b) Aprueba poco","b) Casado","e) Licenciatura","i) Empleado en el sector privado","d) 4","1","3","Henry","1628","38","5"
"2021/04/15 9:29:15 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","b) 25 a 34 años","a) Hombre","a) Feliz","b) Todavía no sé si iré a votar","b) Carlos Morales, por MORENA","i) No sabe / No contesta (No leer)","b) Recolección de basura","j) Ninguno (No leer)","b) Aprueba poco","d) Desaprueba mucho","a) Soltero","g) No contesta (No leer)","f) Desempleado","b) 2","1","1","Lalo Caballero","1628","38","8"
"2021/04/15 9:30:26 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","a) 18 a 24 años","a) Hombre","h) Estresado","c) Estoy seguro que iré a votar","d) Paco Rojas, por Movimiento Ciudadano","e) Movimiento Ciudadano","b) Recolección de basura","j) Ninguno (No leer)","a) Aprueba mucho","b) Aprueba poco","a) Soltero","e) Licenciatura","e) Estudiante y trabaja","e) 5","1","3","Henry","1628","38","5"
"2021/04/15 9:32:34 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","e) 55 a 64 años","a) Hombre","c) Tranquilo","c) Estoy seguro que iré a votar","b) Carlos Morales, por MORENA","b) MORENA","d) Drenaje","e) Agua potable","b) Aprueba poco","a) Aprueba mucho","b) Casado","d) Preparatoria","j) Trabaja por su cuenta","c) 3","1","2","Isaac","1938","38","1"
"2021/04/15 9:32:34 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","e) 55 a 64 años","b) Mujer","a) Feliz","c) Estoy seguro que iré a votar","b) Carlos Morales, por MORENA","b) MORENA","b) Recolección de basura","c) Alumbrado público","a) Aprueba mucho","a) Aprueba mucho","e) Viudo","e) Licenciatura","i) Empleado en el sector privado","b) 2","1","5","Antonio Cruz","1628","38","3"
"2021/04/15 9:39:37 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","d) 45 a 54 años","a) Hombre","c) Tranquilo","c) Estoy seguro que iré a votar","b) Carlos Morales, por MORENA","b) MORENA","c) Alumbrado público","j) Ninguno (No leer)","a) Aprueba mucho","a) Aprueba mucho","b) Casado","d) Preparatoria","i) Empleado en el sector privado","e) 5","1","2","Isaac","1938","38","2"
"2021/04/15 9:39:39 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","e) 55 a 64 años","b) Mujer","c) Tranquilo","b) Todavía no sé si iré a votar","d) Paco Rojas, por Movimiento Ciudadano","h) Ninguno (No leer)","b) Recolección de basura","99) No sabe / No contesta (No leer)","a) Aprueba mucho","a) Aprueba mucho","b) Casado","d) Preparatoria","a) Ama de casa","c) 3","1","5","Antonio Cruz","1628","38","4"
"2021/04/15 9:44:59 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","c) Tranquilo","c) Estoy seguro que iré a votar","b) Carlos Morales, por MORENA","b) MORENA","c) Alumbrado público","j) Ninguno (No leer)","b) Aprueba poco","a) Aprueba mucho","b) Casado","e) Licenciatura","e) Estudiante y trabaja","c) 3","1","2","Isaac","1938","3","1"
"2021/04/15 9:47:21 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","d) 45 a 54 años","a) Hombre","c) Tranquilo","c) Estoy seguro que iré a votar","b) Carlos Morales, por MORENA","b) MORENA","c) Alumbrado público","j) Ninguno (No leer)","a) Aprueba mucho","a) Aprueba mucho","b) Casado","d) Preparatoria","i) Empleado en el sector privado","d) 4","1","2","Isaac","1938","3","2"
"2021/04/15 9:50:04 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","d) 45 a 54 años","b) Mujer","a) Feliz","c) Estoy seguro que iré a votar","b) Carlos Morales, por MORENA","b) MORENA","b) Recolección de basura","g) Pavimentación de calles","a) Aprueba mucho","a) Aprueba mucho","b) Casado","d) Preparatoria","a) Ama de casa","e) 5","1","3","Henry","1628","3","7"
