"Marca temporal","a) De favor, me podría ayudar con que la última persona que cumplió años en su hogar sea quien conteste la encuesta. ","b)	¿Vive usted en esta casa?","c)	¿Cuenta con credencial de lector vigente domiciliaria con esta vivienda?","d)	Me podría decir su edad, de favor ","e)	Anotar sexo sin preguntar","1.	Pensando en cómo se ha sentido en la última semana, ¿qué emoción describe mejor su estado de ánimo?","2.	¿Qué tan seguro está de asistir a votar en las próximas elecciones del 6 de junio?","3.	Si en las próximas elecciones para Presidente Municipal de Tuxtla Gutiérrez los candidatos fueran los siguientes, ¿por quién votaría usted?","4.	Independientemente de por quién ha votado en pasadas elecciones, ¿actualmente con cuál partido se siente usted más identificado? ","5.	¿Cuál es el servicio público que más ha mejorado en su colonia durante los últimos tres años?","6.	¿Cuál es el servicio público que más ha empeorado en su colonia durante los últimos tres años?","7.	En general, ¿usted aprueba o desaprueba la forma en que el presidente Andrés Manuel López Obrador realiza su trabajo?","8.	En general, ¿usted aprueba o desaprueba la forma en que su presidente municipal Carlos Morales realiza su trabajo? ","¿Cuál es su estado civil?","¿Cuál es su último grado de estudios concluido?","¿Cuál es su principal ocupación?","En total y contándose usted, ¿cuántas personas viven en su casa?","Número de equipo","Número del encuestador","Nombre del encuestador","Sección","Manzana","Persona"
"2021/04/14 10:02:42 p. m. GMT-5","a) Sí salió otra persona","b) No (Agradecer y solicitar la participación de otra persona)","a) Sí","f) 65 años o más","a) Hombre","f) Triste","c) Estoy seguro que iré a votar","b) Willy Ochoa, por PRI, PAN y PRD","a) Partido Verde","d) Drenaje","g) Pavimentación de calles","c) Desaprueba poco","c) Desaprueba poco","c) Unión libre","b) Primaria","a) Ama de casa","a) 1","4","18","Tadeo","1700","14","4"
"2021/04/15 8:59:11 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","d) 45 a 54 años","b) Mujer","c) Tranquilo","c) Estoy seguro que iré a votar","d) Paco Rojas, por Movimiento Ciudadano","d) Movimiento Ciudadano","g) Pavimentación de calles","f) Seguridad pública","b) Aprueba poco","b) Aprueba poco","b) Casado","b) Primaria","a) Ama de casa","e) 5","4","17","Tadeo","1742","27","1"
"2021/04/15 9:06:06 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","b) 25 a 34 años","b) Mujer","g) Entretenido","c) Estoy seguro que iré a votar","b) Willy Ochoa, por PRI, PAN y PRD","b) PRI","b) Recolección de basura","f) Seguridad pública","b) Aprueba poco","d) Desaprueba mucho","b) Casado","e) Licenciatura","a) Ama de casa","e) 5","4","20","Pedro","1742","27","7"
"2021/04/15 9:09:34 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","e) 55 a 64 años","a) Hombre","a) Feliz","b) Todavía no sé si iré a votar","i) No sabe / No contesta (No leer)","b) PRI","j) Ninguno (No leer)","b) Recolección de basura","b) Aprueba poco","d) Desaprueba mucho","b) Casado","a) No estudió","f) Desempleado","f) 6","4","18","Mau","1742","27","3"
"2021/04/15 9:09:54 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","e) 55 a 64 años","b) Mujer","g) Entretenido","c) Estoy seguro que iré a votar","a) Carlos Morales, por MORENA","e) MORENA","b) Recolección de basura","h) Centros de salud","b) Aprueba poco","b) Aprueba poco","b) Casado","b) Primaria","a) Ama de casa","e) 5","4","17","Tadeo","1742","27","2"
"2021/04/15 9:10:55 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","a) 18 a 24 años","b) Mujer","a) Feliz","b) Todavía no sé si iré a votar","a) Carlos Morales, por MORENA","e) MORENA","c) Alumbrado público","f) Seguridad pública","b) Aprueba poco","b) Aprueba poco","a) Soltero","d) Preparatoria","e) Estudiante y trabaja","d) 4","4","20","Pedro","1742","27","8"
"2021/04/15 9:15:54 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","h) Estresado","c) Estoy seguro que iré a votar","i) No sabe / No contesta (No leer)","i) No sabe / No contesta (No leer)","j) Ninguno (No leer)","j) Ninguno (No leer)","c) Desaprueba poco","d) Desaprueba mucho","b) Casado","d) Preparatoria","a) Ama de casa","g) 7","4","19","Fatima","1742","27","5"
"2021/04/15 9:19:59 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","d) 45 a 54 años","a) Hombre","a) Feliz","c) Estoy seguro que iré a votar","i) No sabe / No contesta (No leer)","i) No sabe / No contesta (No leer)","b) Recolección de basura","f) Seguridad pública","b) Aprueba poco","b) Aprueba poco","b) Casado","b) Primaria","f) Desempleado","d) 4","4","18","Mau","1742","27","4"
"2021/04/15 9:24:35 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","c) Tranquilo","b) Todavía no sé si iré a votar","b) Willy Ochoa, por PRI, PAN y PRD","b) PRI","j) Ninguno (No leer)","c) Alumbrado público","a) Aprueba mucho","d) Desaprueba mucho","c) Unión libre","c) Secundaria","a) Ama de casa","c) 3","4","19","Fatima","1742","27","6"
"2021/04/15 9:24:41 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","c) Tranquilo","b) Todavía no sé si iré a votar","b) Willy Ochoa, por PRI, PAN y PRD","b) PRI","j) Ninguno (No leer)","c) Alumbrado público","a) Aprueba mucho","d) Desaprueba mucho","c) Unión libre","c) Secundaria","a) Ama de casa","c) 3","4","19","Fatima","1742","27","6"
"2021/04/15 9:45:12 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","Desesperada","c) Estoy seguro que iré a votar","h) Ninguno (No leer)","h) Ninguno (No leer)","b) Recolección de basura","c) Alumbrado público","d) Desaprueba mucho","d) Desaprueba mucho","b) Casado","b) Primaria","a) Ama de casa","c) 3","4","18","Mau","1742","104","3"
"2021/04/15 9:46:43 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","d) 45 a 54 años","a) Hombre","h) Estresado","c) Estoy seguro que iré a votar","d) Paco Rojas, por Movimiento Ciudadano","h) Ninguno (No leer)","b) Recolección de basura","c) Alumbrado público","b) Aprueba poco","b) Aprueba poco","b) Casado","f) Posgrado","h) Empleado en el sector público","e) 5","4","17","Tadeo","1742","104","1"
"2021/04/15 9:47:20 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","a) Feliz","c) Estoy seguro que iré a votar","a) Carlos Morales, por MORENA","e) MORENA","b) Recolección de basura","f) Seguridad pública","d) Desaprueba mucho","b) Aprueba poco","b) Casado","b) Primaria","a) Ama de casa","e) 5","4","19","Fatima","1742","104","5"
"2021/04/15 9:47:58 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","a) 18 a 24 años","b) Mujer","a) Feliz","b) Todavía no sé si iré a votar","i) No sabe / No contesta (No leer)","Nunca ha votado","b) Recolección de basura","g) Pavimentación de calles","d) Desaprueba mucho","99) No sabe / No contesta (No leer)","c) Unión libre","b) Primaria","a) Ama de casa","h) 8 o más","4","20","Pedro","1742","104","7"
"2021/04/15 9:51:56 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","a) Feliz","c) Estoy seguro que iré a votar","a) Carlos Morales, por MORENA","e) MORENA","b) Recolección de basura","f) Seguridad pública","d) Desaprueba mucho","b) Aprueba poco","b) Casado","b) Primaria","a) Ama de casa","e) 5","4","19","Fatima","1742","104","5"
"2021/04/15 9:52:01 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","a) Feliz","c) Estoy seguro que iré a votar","a) Carlos Morales, por MORENA","e) MORENA","b) Recolección de basura","f) Seguridad pública","d) Desaprueba mucho","b) Aprueba poco","b) Casado","b) Primaria","a) Ama de casa","e) 5","4","19","Fatima","1742","104","5"
"2021/04/15 9:52:46 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","d) Preocupado","c) Estoy seguro que iré a votar","b) Willy Ochoa, por PRI, PAN y PRD","h) Ninguno (No leer)","b) Recolección de basura","g) Pavimentación de calles","c) Desaprueba poco","d) Desaprueba mucho","b) Casado","b) Primaria","a) Ama de casa","f) 6","4","17","Tadeo","1742","104","2"
"2021/04/15 9:54:32 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","d) 45 a 54 años","b) Mujer","a) Feliz","c) Estoy seguro que iré a votar","i) No sabe / No contesta (No leer)","e) MORENA","j) Ninguno (No leer)","f) Seguridad pública","c) Desaprueba poco","c) Desaprueba poco","b) Casado","b) Primaria","a) Ama de casa","b) 2","4","18","Mau","1742","104","4"
"2021/04/15 9:58:38 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","f) 65 años o más","b) Mujer","a) Feliz","c) Estoy seguro que iré a votar","a) Carlos Morales, por MORENA","e) MORENA","j) Ninguno (No leer)","g) Pavimentación de calles","a) Aprueba mucho","a) Aprueba mucho","e) Viudo","a) No estudió","a) Ama de casa","a) 1","4","19","Fatima","1742","104","6"
"2021/04/15 10:01:33 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","d) 45 a 54 años","b) Mujer","c) Tranquilo","c) Estoy seguro que iré a votar","b) Willy Ochoa, por PRI, PAN y PRD","a) Partido Verde","b) Recolección de basura","g) Pavimentación de calles","b) Aprueba poco","b) Aprueba poco","b) Casado","b) Primaria","a) Ama de casa","c) 3","4","20","Pedro","1742","104","8"
"2021/04/15 10:12:51 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","e) 55 a 64 años","a) Hombre","c) Tranquilo","c) Estoy seguro que iré a votar","a) Carlos Morales, por MORENA","h) Ninguno (No leer)","b) Recolección de basura","f) Seguridad pública","a) Aprueba mucho","b) Aprueba poco","c) Unión libre","b) Primaria","c) Jubilado","a) 1","4","18","Mau","1742","105","3"
"2021/04/15 10:15:16 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","d) 45 a 54 años","b) Mujer","c) Tranquilo","c) Estoy seguro que iré a votar","i) No sabe / No contesta (No leer)","h) Ninguno (No leer)","d) Drenaje","g) Pavimentación de calles","a) Aprueba mucho","b) Aprueba poco","b) Casado","b) Primaria","a) Ama de casa","d) 4","4","19","Fatima","1742","104","5"
"2021/04/15 10:17:07 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","c) Tranquilo","b) Todavía no sé si iré a votar","h) Ninguno (No leer)","e) MORENA","b) Recolección de basura","h) Centros de salud","b) Aprueba poco","b) Aprueba poco","b) Casado","d) Preparatoria","b) Ama de casa y trabaja","c) 3","4","16","Rolando","1742","105","1"
"2021/04/15 10:19:28 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","b) Aburrido","b) Todavía no sé si iré a votar","i) No sabe / No contesta (No leer)","e) MORENA","b) Recolección de basura","c) Alumbrado público","a) Aprueba mucho","99) No sabe / No contesta (No leer)","b) Casado","b) Primaria","b) Ama de casa y trabaja","d) 4","4","18","Mau","1742","105","4"
"2021/04/15 10:25:37 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","e) 55 a 64 años","b) Mujer","a) Feliz","c) Estoy seguro que iré a votar","Confidencial ","Confidencial ","a) Educación pública","g) Pavimentación de calles","99) No sabe / No contesta (No leer)","99) No sabe / No contesta (No leer)","b) Casado","d) Preparatoria","b) Ama de casa y trabaja","b) 2","4","17","Tadeo","1742","72","1"
"2021/04/15 10:27:23 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","e) 55 a 64 años","b) Mujer","a) Feliz","c) Estoy seguro que iré a votar","i) No sabe / No contesta (No leer)","h) Ninguno (No leer)","b) Recolección de basura","c) Alumbrado público","b) Aprueba poco","99) No sabe / No contesta (No leer)","e) Viudo","b) Primaria","b) Ama de casa y trabaja","a) 1","4","16","Rolando","1742","105","2"
"2021/04/15 10:29:36 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","c) 35 a 44 años","a) Hombre","c) Tranquilo","c) Estoy seguro que iré a votar","a) Carlos Morales, por MORENA","e) MORENA","b) Recolección de basura","e) Agua potable","b) Aprueba poco","b) Aprueba poco","b) Casado","d) Preparatoria","i) Empleado en el sector privado","c) 3","4","20","Pedro","1742","72","7"
"2021/04/15 10:32:46 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","h) Estresado","c) Estoy seguro que iré a votar","h) Ninguno (No leer)","e) MORENA","j) Ninguno (No leer)","c) Alumbrado público","b) Aprueba poco","b) Aprueba poco","b) Casado","f) Posgrado","h) Empleado en el sector público","c) 3","4","17","Tadeo","1742","72","2"
"2021/04/15 10:37:57 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","d) 45 a 54 años","b) Mujer","f) Triste","b) Todavía no sé si iré a votar","h) Ninguno (No leer)","b) PRI","b) Recolección de basura","f) Seguridad pública","d) Desaprueba mucho","b) Aprueba poco","b) Casado","d) Preparatoria","a) Ama de casa","h) 8 o más","4","18","Mau","1742","105","7"
"2021/04/15 10:38:10 a. m. GMT-5","a) Sí salió otra persona","SÍ","a) Sí","d) 45 a 54 años","a) Hombre","a) Feliz","c) Estoy seguro que iré a votar","a) Carlos Morales, por MORENA","e) MORENA","d) Drenaje","f) Seguridad pública","a) Aprueba mucho","a) Aprueba mucho","e) Viudo","b) Primaria","f) Desempleado","c) 3","4","19","Fatima","1742","104","6"
"2021/04/15 10:41:06 a. m. GMT-5","b) No se encontraba, contestó la misma","SÍ","a) Sí","c) 35 a 44 años","b) Mujer","a) Feliz","b) Todavía no sé si iré a votar","i) No sabe / No contesta (No leer)","b) PRI","j) Ninguno (No leer)","g) Pavimentación de calles","d) Desaprueba mucho","c) Desaprueba poco","b) Casado","c) Secundaria","a) Ama de casa","e) 5","4","17","Tadeo","1742","72","3"
